date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-17,102899320.94523047,-0.018588536333504536,12559378744.336561,1.1919533488299747,12520115.017541993,0.0011880245250876027,93946889.55192566,8952431.393304804,0.0
2025-10-20,103352715.59966274,0.006137002565836223,12737185316.87713,1.7279664326959865,12698213.75977341,0.0017308058070296972,93994043.56689453,9358672.0327682,-0.02477479
2025-10-21,103756385.2819427,0.005535790790524534,12906164531.56257,1.6349760497825903,12866683.088685766,0.0016300425967027494,95585954.12425995,8170431.157682744,0.0
2025-10-22,102923424.7911351,-0.0066361420304659365,13049312268.890242,1.3796523167098407,13011101.470194642,0.0013918987358362569,92356123.65255356,10567301.138581548,0.0030792952
2025-10-23,102514897.20901754,-0.0032172356651856003,13126987245.027212,0.7546870529677588,13088500.139291111,0.0007520024644879122,92577608.82053375,9937288.388483794,-0.004604697
2025-10-24,102326293.45539957,-0.00020482185649707874,13294343967.678312,1.632511246730089,13256106.601344125,0.0016349473746365007,92057132.72514343,10269160.730256148,0.0007709265
2025-10-27,102394405.4022997,0.0021038806195363925,13442148737.30841,1.4444456516400765,13403276.960113805,0.0014382457704658854,93541236.75165176,8853168.65064793,-0.0007703304
2025-10-28,101524621.98875864,-0.006825381620803166,13612264327.341894,1.661375827762391,13574179.480948944,0.0016690611187562062,91268494.25563812,10256127.733120518,-0.044718564
2025-10-29,102339406.93535976,0.009371743688660956,13748845282.945303,1.345298834193461,13710857.26971466,0.0013462526241254968,92026290.66638947,10313116.268970292,-0.04681194
2025-10-30,102097682.59189816,-0.0006904825810387773,13919456792.321447,1.6671145014931257,13881918.035333557,0.0016715043671001965,91057114.6030426,11040567.988855558,-0.014394581
2025-10-31,101634798.31456207,-0.003912977285887109,13983256090.314392,0.6248848786114116,13945296.399745839,0.0006207620271423377,91499475.85144043,10135322.463121638,-0.012886643
2025-11-03,101060332.07544594,-0.0048335890800645185,14066691189.259342,0.8209304325740533,14028501.787574144,0.0008186702704991134,91467637.23344803,9592694.841997907,-0.0069625974
2025-11-04,101793648.65642138,0.008302374372199134,14171735229.81873,1.03941911135783,14134225.917667817,0.0010461486512308863,90946498.87595177,10847149.780469608,0.01840496
2025-11-05,101795579.70558688,0.0013323830676994412,14305968024.138597,1.3186755371441377,14267923.002371477,0.0013134128353618625,92153546.24223709,9642033.463349793,0.020654082
2025-11-06,102520029.52846572,0.008684606707439743,14465482045.042757,1.5670034137582978,14427527.753791496,0.0015678947148945756,92856139.78481293,9663889.743652787,-0.016863406
2025-11-07,102135706.42980696,-0.002202130149276838,14623728543.56418,1.5435666498465512,14586088.404520866,0.0015466309506411468,92002072.92098999,10133633.508816972,0.0034304857
2025-11-10,105566413.07447745,0.035345617334356094,14801081000.474123,1.7364393228320065,14765431.355492469,0.0017559280416281971,91631134.39331055,13935278.681166897,-0.0008547306
2025-11-11,104050992.90334086,-0.012976312716286619,14948644434.541134,1.3978255940448066,14910988.73823795,0.0013788228519499754,94273374.24798012,9777618.65536074,-0.0017108321
2025-11-12,102640246.09996606,-0.01185510988556048,15126231907.661966,1.706735016798965,15088199.587041967,0.0017031154038927739,93793086.92703247,8847159.17293359,0.0008568764
2025-11-13,103538522.48632452,0.01048515551235423,15303913687.632898,1.7311121779450873,15266122.142867966,0.0017334580009941913,94387734.15908813,9150788.32723639,-0.0017123818
2025-11-14,99548210.42529503,-0.036779354837809905,15487218385.675339,1.770400944891323,15448354.14599037,0.0017600405988647716,92725043.94125938,6823166.484035642,-0.0034305453
2025-11-17,99575150.25890437,0.002071631090788616,15664665871.857075,1.7825281381115305,15627641.480130436,0.0018010101173502307,89251575.19235611,10323575.066548256,-0.021514654
2025-11-18,98883390.914007,-0.005498606784553031,15809090082.872799,1.4504041484266728,15771876.228241311,0.0014485014357081274,89082976.40526295,9800414.50874405,0.00703609
2025-11-19,98574013.21682627,-0.0013301873949197345,15987125430.976156,1.8004575536672693,15949720.485261297,0.0017985250644837417,89333625.13184547,9240388.084980795,0.009607077
2025-11-20,97328753.41415665,-0.010984177830964727,16149869008.088856,1.6509785064216063,16112225.79724544,0.001648561387337359,88727400.89826584,8601352.515890809,0.01211071
2025-11-21,95638009.93523833,-0.015703919237577878,16311167165.69107,1.6572508322987902,16274526.393053705,0.001667550339596344,85194081.60305023,10443928.332188105,-0.015384555
2025-11-24,95594128.05623136,0.0012923157002657705,16479160247.121744,1.756551412397966,16442002.773842154,0.0017511487420310869,86351077.38928795,9243050.666943412,0.00086796284
